Date,EUR,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
#date,#value+eur,#value+jpy,#value+bgn,#value+czk,#value+dkk,#value+gbp,#value+huf,#value+pln,#value+ron,#value+sek,#value+chf,#value+isk,#value+nok,#value+hrk,#value+rub,#value+trl,#value+try,#value+aud,#value+brl,#value+cad,#value+cny,#value+hkd,#value+idr,#value+ils,#value+inr,#value+krw,#value+mxn,#value+myr,#value+nzd,#value+php,#value+sgd,#value+thb,#value+zar
2007-05-24,0.74360499702558,121.35633551457465,1.4543426531826293,21.008328375966684,5.540898274836406,0.50319750148721,185.50713860797146,2.8256989886972037,2.4334473527662106,6.837968471148127,1.2275431290898275,62.180249851279,6.0272903033908385,5.440214158239144,25.897531231409875,0.0,1.3321683521713266,1.2158685306365258,0.0,1.0820939916716241,7.651918500892326,7.823319452706722,8739.998512790005,0.0,0.0,931.4470553242118,0.0,3.389500297441999,1.3721743010113028,46.20984533016062,1.527215942891136,32.8837001784652,7.107450922070196
2007-05-23,0.7412898443291327,121.46034099332839,1.4498146775389178,20.93921423276501,5.5243884358784285,0.5036323202372127,183.59525574499628,2.810229799851742,2.42646404744255,6.813120830244626,1.2258710155670867,61.423276501111935,6.020014825796887,5.423869532987398,25.851742031134176,0.0,1.324017790956264,1.210971089696071,0.0,1.0830244625648628,7.653002223869533,7.823943661971832,8710.0,0.0,0.0,931.3491475166791,0.0,3.389473684210526,1.3687175685693107,46.04002965159377,1.529132690882135,33.0,7.033580429948111
2007-05-22,0.7432733759476736,121.5028987661662,1.45369406867846,20.94990337446113,5.539765125613201,0.5067266240523265,184.21287349487142,2.810019325107775,2.4331053961647093,6.832168871711016,1.2309350379069421,62.37550170952877,6.044670729894456,5.4381596551211535,25.903077151776426,0.0,1.3196818789950946,1.2162182250631783,0.0,1.0836182547941133,7.654675189534712,7.823992864575592,8679.002527129478,0.0,0.0,930.3478519399436,0.0,3.3870224468559536,1.372231306674595,45.87483276349041,1.5335216292552403,32.79842426044299,7.01761557900996
2007-05-21,0.7438262421898244,121.48170187444212,1.4547753644748587,20.949122285034218,5.544034513537637,0.5077729842308837,185.1309134186254,2.803853019934543,2.422865218684915,6.857110978875335,1.231925022314787,63.39631062183874,6.074828919964296,5.446667658434989,25.917881582862243,0.0,1.322523058613508,1.220470098185064,0.0,1.0868045224635525,7.667286521868491,7.821258554001785,8759.99702469503,0.0,0.0,930.1026480214222,0.0,3.3919964296340375,1.372508182088664,46.239958345730436,1.5259595358524247,33.09357334126748,7.002752157096102
2007-05-18,0.7420048972323218,120.94679824886845,1.451213178006975,20.924538101951473,5.530088298582771,0.5074571492171849,186.1170883727833,2.810120946798249,2.4270238183572013,6.840543147584774,1.2269792980633674,63.33753802775099,6.065890034874231,5.43295985753506,25.85664465385472,0.0,1.3315277880834013,1.216962231950731,0.0,1.0957186317429695,7.668620612896047,7.821102619277288,8819.99703198041,0.0,0.0,934.0506047339912,0.0,3.400979446464347,1.3730800623284114,46.46508866958523,1.5239296579357424,33.19136306299622,7.061883208429177
2007-05-17,0.7398638650488311,121.16750517904707,1.4470257472625039,20.797573246522642,5.514649304527967,0.5059559041136431,184.40366972477065,2.7980171648416694,2.4220183486238533,6.811556673572063,1.2248446285883399,63.00680674755845,6.046241491565553,5.422610239715893,25.816069843148863,0.0,1.3225806451612905,1.2149304527966853,0.0,1.0995856762355727,7.670686593666765,7.820213080793135,8794.998520272271,0.0,0.0,928.1000295945547,0.0,3.4013021604024862,1.3674903817697546,46.72980171648417,1.5244894939331166,33.42630955904114,6.962340929269015
2007-05-16,0.7367025195226168,120.554000294681,1.440842787682334,20.800795638721084,5.49086488875792,0.5045307204950641,183.2473847060557,2.7919552084868133,2.414616177987329,6.77655812582879,1.2188743185501696,62.9217621924267,6.020701340798586,5.398187711801975,25.765433917783998,0.0,1.3238544275821424,1.205245321939001,0.0,1.0999705318992192,7.681965522322087,7.818034477677914,8805.00221010756,0.0,0.0,923.9501989096804,0.0,3.4007661706203036,1.3580374244879918,46.95005156917637,1.5193016060114926,33.356416678945045,6.919257403860322
2007-05-15,0.7386615452799528,120.4609248042547,1.4446742502585317,20.884177869700103,5.504505835426208,0.5058723592849756,183.76421923474666,2.7945782242576453,2.425025853154085,6.792731570394445,1.2191608804845622,63.48057320135914,6.052223371251293,5.411434480720934,25.80440242280987,0.0,1.3369773969567145,1.202467129561235,0.0,1.1028955532574976,7.6868075048013,7.814448219825676,8805.000738661545,0.0,0.0,924.3019648397104,0.0,3.4019796129413504,1.359875904860393,47.04978578815187,1.518171074013887,33.256758753139316,6.953685921110948
2007-05-14,0.738061849582995,120.34836519300318,1.4435013654144218,20.878293601003765,5.499520259797771,0.5050926267621226,182.47103107240386,2.77865525131006,2.4178906192338916,6.813270352055501,1.2189091445863163,63.64307328954167,6.051000073806184,5.40150564617315,25.79083327182818,0.0,1.335153885895638,1.2012694663812826,0.0,1.1079784485939923,7.680271606760647,7.81253229020592,8800.0,0.0,0.0,924.2010480478265,0.0,3.401505646173149,1.353162595025463,47.13484389991881,1.5159052328585136,33.389918075134695,6.952837847811647
2007-05-11,0.7415097137772505,119.72415838647487,1.4502446982055464,20.963962627910423,5.525582085125316,0.5051905679964408,184.34672994216226,2.8018686044787184,2.434747145187602,6.841168619308913,1.218967818478422,64.02936378466558,6.063324929556577,5.430001483019427,25.851253151416284,0.0,1.3448020169064214,1.204211775174255,0.0,1.1149340056354737,7.676627613821741,7.819961441494883,8869.998516980571,0.0,0.0,926.7536704730832,0.0,3.4095358149191752,1.3694201394038261,47.16965742251223,1.5187601957585644,33.241880468634136,7.021207177814029
2007-05-10,0.7392622163081245,120.39624454794117,1.4458490426554298,20.889332446218674,5.508834183484883,0.5032157906409404,183.4479189768611,2.7821394248539955,2.428032823242404,6.806017594440748,1.2177866489243734,63.620906335477194,6.031640422857988,5.41672211133289,25.809122495749243,0.0,1.341391291491092,1.2018925112737486,0.0,1.1076365786944629,7.693575811340282,7.82072891254528,8765.003326679973,0.0,0.0,925.1497005988024,0.0,3.4014933096769426,1.3631256006505508,47.15014415613218,1.517039994085902,32.66651881422341,6.964515413617209
2007-05-09,0.7388252678241596,119.9482822312523,1.4449944588104915,20.86147026228297,5.50609530845955,0.5022903583302549,182.75581824898413,2.7786479497598817,2.429626893239749,6.792390099741412,1.2180273365349097,64.09309198374585,6.0096047284817145,5.417805688954562,25.803472478758774,0.0,1.3395640930919839,1.206575544883635,0.0,1.1070557813077206,7.6935352789065385,7.8189139268562995,8814.99815293683,0.0,0.0,923.546361285556,0.0,3.403029183598079,1.358034724787588,47.27004063538973,1.5163649796823053,32.67676394532693,6.930772072404877
2007-05-08,0.737571913261543,119.70054580321582,1.442543147956926,20.82313025519988,5.496533412007672,0.5017701725918278,181.33205487535037,2.765230860008851,2.437896444903378,6.777548310960319,1.2161823277769583,64.04336922849978,6.000885086295914,5.4148842012096186,25.7825637999705,0.0,1.3416433102227467,1.2062988641392536,0.0,1.1023749815607022,7.695972857353593,7.819589910016227,8889.496975955155,0.0,0.0,922.9532379406992,0.0,3.4078772680336336,1.3544033043221715,47.07478979200472,1.5153414957958402,32.70393863401682,6.927349166543738
2007-05-07,0.7344840249724569,119.94858611825194,1.4365038560411312,20.688211531399194,5.473081160484759,0.5011384502387074,180.82996694821887,2.747925082629453,2.432611090708777,6.731913330885053,1.2097686375321337,63.4373852368711,5.965479250826295,5.395372750642673,25.726037458685276,0.0,1.3389643775247888,1.2106500183621007,0.0,1.1037825927286082,7.703929489533603,7.816966580976864,8885.001836210064,0.0,0.0,922.4017627616599,0.0,3.4149834741094383,1.354535438854205,47.25009181050313,1.5139919206757255,32.56334924715388,6.915975027543151
2007-05-04,0.7374087456677235,120.3082368556891,1.4422240247769338,20.73445911068505,5.494948750092176,0.5035026915419216,181.80812624437726,2.7655777597522304,2.446353513752673,6.752820588452179,1.2151758719858416,63.80060467517144,5.993658284787258,5.41420249244156,25.778334931052278,0.0,1.3538824570459405,1.2212963645748838,0.0,1.1050070053830838,7.703930388614409,7.821399601799277,8974.500405574809,0.0,0.0,927.6528279625396,0.0,3.4204704667797357,1.361477767126318,47.43013052134798,1.5192832386992108,32.614851412137746,6.986579160828848
2007-05-03,0.7345919341805627,120.0837434804966,1.4367149048703445,20.669213252038492,5.473958715933299,0.5015793726584882,181.216484243003,2.760890325424227,2.4303974142363916,6.715125247924777,1.2105340483361493,63.66708293542937,5.96635568941453,5.398516124292955,25.72908249467421,0.0,1.3553221185631381,1.2117828546242562,0.0,1.108205391904797,7.703885991331815,7.8211268640270335,9046.49966943363,0.0,0.0,926.9521780650848,0.0,3.4207742598986264,1.353706016307941,47.55013589950783,1.5237640490707414,32.866377727172555,6.972967016822156
2007-05-02,0.7359434795407712,120.16485133941713,1.4393582572858403,20.699882249043274,5.48447159258169,0.5019870473947601,181.6529290550486,2.7736973800412126,2.4481895790403296,6.744921989991168,1.215631439505446,63.96084780688843,5.980644686488078,5.4132322637621435,25.748454518692967,0.0,1.357815719752723,1.2106270238445687,0.0,1.1109802767147483,7.703929938180748,7.8201354136002355,9072.49779216956,0.0,0.0,930.0485722696496,0.0,3.421989991168678,1.353988813659111,47.68030615248749,1.5256108330880187,32.65675596114219,7.042169561377686
